x;y;ap1_range;ap2_range;ap3_range;ap4_range;ap5_range;ap1_range_sq;ap2_range_sq;ap3_range_sq;ap4_range_sq;ap5_range_sq
2.7;5.5;445.0537741;1372.834441;333.6741923;1064.95526;1073.688802;198072.8618;1884674.402;111338.4666;1134129.706;1152807.644
2.7;6.5;533.2499106;1139.957675;310.1248797;1030.065868;993.4351883;284355.4672;1299503.501;96177.44101;1061035.692;986913.4734
2.7;7.5;583.395847;2022.792014;362.6205149;968.9219452;992.5102677;340350.7143;4091687.532;131493.6378;938809.7359;985076.6315
2.7;8.5;637.7408285;1345.285211;446.735233;759.3297729;1006.516541;406713.3643;1809792.299;199572.3684;576581.704;1013075.547
2.7;9.5;750.2159676;2204.19098;351.7609631;651.0647841;908.9955003;562823.998;4858457.876;123735.7752;423885.3531;826272.8196
2.7;10.5;752.4044191;1824.327402;326.6154836;742.0684352;782.972417;566112.4099;3328170.47;106677.6741;550665.5625;613045.8058
2.7;11.5;695.6079961;4771.591263;308.3227558;631.9638027;813.766193;483870.4842;22768083.18;95062.92174;399378.2479;662215.4169
2.7;12.5;974.0015761;10638.2404;515.5155151;597.2747766;716.9237725;948679.0702;113172158.8;265756.2463;356737.1588;513979.6956
2.7;13.5;910.7431159;13810.2491;510.2729728;595.9243998;522.8161845;829453.0232;190722980.2;260378.5068;355125.8903;273336.7628
2.7;14.5;914.4813293;11214.51808;782.4638943;533.5801324;536.4775851;836276.1016;125765415.8;612249.7459;284707.7577;287808.1993
2.7;15.5;1096.348228;15957.57166;579.5119773;464.4290167;424.3940254;1201979.437;254644093.3;335834.1318;215694.3116;180110.2888
2.7;16.5;1136.510541;22920.74369;684.1194186;481.8860611;438.20005;1291656.21;525360491.3;468019.3789;232214.1759;192019.2838
2.7;17.5;1164.2623;37434.726;796.8528005;342.2101347;198.0241722;1355506.703;1401358711;634974.3857;117107.7763;39213.57278
2.7;18.5;1253.794638;25889.44331;892.1172826;255.9573655;334.7828023;1572000.994;670263274.9;795873.2459;65514.17295;112079.5247
3.7;0.5;427.3301342;108.2010173;618.7935975;1312.602615;1462.771722;182611.0436;11707.46014;382905.5163;1722925.625;2139701.111
3.7;1.5;404.02601;168.6598501;616.6497722;1347.790694;1355.705501;163237.0168;28446.14504;380256.9416;1816539.755;1837937.405
3.7;2.5;400.4798635;242.9424732;560.6415557;1131.250931;1293.20756;160384.1211;59021.04528;314318.954;1279728.669;1672385.793
3.7;3.5;433.4686095;255.1552274;419.7361404;1074.251332;1240.740587;187895.0354;65104.19007;176178.4276;1154015.924;1539437.204
3.7;4.5;464.0829709;373.9158553;462.2756261;1042.096709;1186.987759;215373.0039;139813.0668;213698.7545;1085965.551;1408939.94
3.7;5.5;531.1172145;346.7626578;337.1005681;983.0519745;1181.444768;282085.4955;120244.3408;113636.793;966391.1846;1395811.74
3.7;6.5;554.7839562;644.3991618;237.8948176;758.3316683;972.5966626;307785.2381;415250.2797;56593.94424;575066.9191;945944.2681
3.7;7.5;588.5992897;625.2804289;252.0518421;1236.648816;878.8135948;346449.1238;390975.6148;63530.13111;1529300.294;772313.3344
3.7;8.5;664.7066844;1104.722936;241.3789238;678.7083663;945.1069876;441834.9763;1220412.765;58263.78485;460645.0465;893227.218
3.7;9.5;747.4357888;2560.412423;215.3144392;624.4290918;732.8435317;558660.2584;6555711.776;46360.30773;389911.6907;537059.642
3.7;10.5;837.9888422;1622.576454;159.191152;743.8297962;807.1246163;702225.2997;2632754.349;25341.82288;553282.7657;651450.1462
3.7;11.5;797.8453145;2378.31421;337.6435457;674.3049638;655.681093;636557.1459;5656378.481;114003.164;454687.1842;429917.6957
3.7;12.5;825.2901877;2221.452226;342.8299179;579.700308;788.8018746;681103.8939;4934849.992;117532.3526;336052.4471;622208.3974
3.7;13.5;919.1024373;3738.192179;503.925752;589.8281337;676.9964379;844749.2903;13974080.77;253941.1635;347897.2273;458324.1769
3.7;14.5;1061.605386;13903.9767;664.2352048;453.1660917;564.7571294;1127005.996;193320568.1;441208.4073;205359.5067;318950.6152
3.7;15.5;1155.934223;13512.49877;692.7321666;354.6962271;429.7117368;1336183.928;182587623;479877.8546;125809.4135;184652.1767
3.7;16.5;1177.335121;30427.97948;846.0138616;253.9503725;403.7693336;1386117.987;925861935.2;715739.454;64490.79169;163029.6748
3.7;17.5;1051.733873;31567.44198;794.5872733;193.6393353;357.1772644;1106144.14;996503393.2;631368.9349;37496.19218;127575.5982
3.7;18.5;1151.18162;74623.36198;968.3120172;200.9302282;468.8047024;1325219.122;5568646153;937628.1627;40372.9566;219777.849
4.7;0.5;464.6653056;88.2342911;720.0401948;1290.448608;1281.791538;215913.8462;7785.290126;518457.8821;1665257.61;1642989.547
4.7;1.5;424.5969179;154.4192993;691.4983351;1171.575514;1322.017884;180282.5427;23845.32;478169.9474;1372589.185;1747731.286
4.7;2.5;537.4176225;204.1226175;683.5166077;1134.597517;1476.611121;288817.701;41666.04298;467194.953;1287311.526;2180380.403
4.7;3.5;498.6003935;221.8171168;511.6116934;1089.800236;1273.080727;248602.3524;49202.83331;261746.5248;1187664.554;1620734.537
4.7;4.5;494.5991902;481.2980822;401.6400079;1064.593203;1275.105462;244628.3589;231647.8439;161314.6959;1133358.688;1625893.939
4.7;5.5;460.9458772;710.0258398;513.4933916;1100.172695;1153.966218;212471.1017;504136.6932;263675.4632;1210379.959;1331638.032
