x;y;ap1 range (m);ap2 range (m);ap3 range (m);ap4 range (m);ap5 range (m);ap1 std (m);ap2 std (m);ap3 std (m);ap4 std (m);ap5 std (m)
1.7;4.5;435.7082406;817.7569036;522.0312461;1105.890595;1080.419378;21.50447521;88.49368868;16.74624904;22.41860473;31.47890565
1.7;5.5;474.0671941;1004.761802;408.0714839;1045.316085;1114.784253;21.99811615;141.6446387;22.59252575;17.05416408;18.43710089
1.7;6.5;586.9743879;1880.217798;449.8433116;1043.476442;1065.244989;19.50281118;277.1681872;17.62491736;17.6762517;20.29634699
1.7;7.5;520.2991464;1415.0143;480.6609306;918.7133717;846.3566434;27.33534139;487.9865638;18.80040806;14.93212994;34.01431706
1.7;8.5;686.0558277;1849.272806;353.7456398;859.3652917;987.5374289;16.41837374;292.3205983;27.25617861;28.64018158;27.50618995
1.7;9.5;789.2230033;2932.366036;307.433396;786.612296;770.7906306;22.0338606;329.4383809;18.77398598;22.250945;52.01253265
1.7;10.5;684.2792471;3035.670775;375.3371633;765.3825486;660.4255159;26.01129272;252.3160294;20.12679783;18.71162505;26.86077104
1.7;11.5;910.2547061;4148.425924;267.5713515;742.8610476;677.2523111;32.77967631;427.6444049;16.28486093;19.354415;26.70354456
1.7;12.5;895.8402224;7161.803335;401.9233006;636.0312419;676.0347;18.7416123;814.8892995;38.75199532;19.48495495;22.63758765
1.7;13.5;893.0664385;4672.231226;462.9403056;637.1891736;680.8234101;20.53873799;444.3643579;37.71039388;18.93949223;16.52744259
1.7;14.5;1108.483333;10151.59088;803.9302325;494.3525828;521.2475709;14.288358;1462.747158;19.55828666;25.00738547;20.73044722
1.7;15.5;1049.587591;67910.47477;706.053841;424.729897;419.7660591;13.88213419;6547.808278;17.9449347;31.64770015;26.96955626
1.7;16.5;1211.359341;19236.16144;921.129137;364.8240528;279.3139558;22.41764402;1844.892215;18.08023665;19.90469505;20.94305476
1.7;17.5;1194.462241;51251.14522;706.9993709;317.0813846;377.1798689;21.72749361;5317.901893;22.51861877;25.58838515;28.45178939
1.7;18.5;1149.190411;32236.80735;1069.006275;499.3528909;341.3576295;15.53144261;4459.613864;23.21318418;23.77888081;24.72065753
2.7;0.5;304.7587578;206.218902;796.1177574;1112.132455;1349.830869;30.35349692;25.5894228;20.83936395;23.0342355;26.28988887
2.7;1.5;335.3322018;300.9111244;762.2606242;1102.083632;1387.948523;22.59737571;37.79149607;35.84493458;23.88279916;26.00328681
2.7;2.5;281.0801548;191.5736565;552.5839484;1296.700724;1354.783584;23.31755462;41.98575093;20.79057299;29.27652729;26.50334442
2.7;3.5;354.3128707;721.4255102;457.5841465;1035.679124;1294.758933;14.96227723;66.35729359;27.08075645;24.52836313;24.58057073
2.7;4.5;393.7907052;595.7173267;471.1130545;1109.165421;1194.661172;18.40556157;68.5778104;24.17593288;23.29553287;25.90147313
2.7;5.5;445.0537741;1372.834441;333.6741923;1064.95526;1073.688802;20.47800851;191.4039075;24.08488699;19.95025575;27.9972103
2.7;6.5;533.2499106;1139.957675;310.1248797;1030.065868;993.4351883;19.56376294;326.9451623;19.66666202;28.9959046;24.09989459
2.7;7.5;583.395847;2022.792014;362.6205149;968.9219452;992.5102677;18.63125555;270.3791105;23.29217131;20.63013073;25.53376791
2.7;8.5;637.7408285;1345.285211;446.735233;759.3297729;1006.516541;20.41503927;152.1626212;18.78803302;19.11264856;20.42679175
2.7;9.5;750.2159676;2204.19098;351.7609631;651.0647841;908.9955003;15.65452443;258.7031346;16.09700588;18.15432383;18.33073245
2.7;10.5;752.4044191;1824.327402;326.6154836;742.0684352;782.972417;15.78849555;231.3281884;22.79393853;20.02140672;73.4829224
2.7;11.5;695.6079961;4771.591263;308.3227558;631.9638027;813.766193;33.02152166;578.5880689;22.02971007;22.46510545;19.68114402
2.7;12.5;974.0015761;10638.2404;515.5155151;597.2747766;716.9237725;18.69690083;1083.412887;19.13335999;31.93833933;18.63874072
2.7;13.5;910.7431159;13810.2491;510.2729728;595.9243998;522.8161845;14.63664346;1642.57026;15.22590689;15.55535375;21.43878701
2.7;14.5;914.4813293;11214.51808;782.4638943;533.5801324;536.4775851;25.68423504;1304.754179;20.18057893;17.64383939;22.9127397
2.7;15.5;1096.348228;15957.57166;579.5119773;464.4290167;424.3940254;19.60210089;1883.789536;22.75909566;19.97807066;20.81232024
2.7;16.5;1136.510541;22920.74369;684.1194186;481.8860611;438.20005;22.09062701;2279.777075;20.57944696;19.88150001;39.69870205
2.7;17.5;1164.2623;37434.726;796.8528005;342.2101347;198.0241722;21.72308454;4140.934435;21.25535776;15.21567372;25.48023333
2.7;18.5;1253.794638;25889.44331;892.1172826;255.9573655;334.7828023;18.27204946;2948.25759;15.36798235;22.65318321;27.60684257
3.7;0.5;427.3301342;108.2010173;618.7935975;1312.602615;1462.771722;23.47074094;10.41341428;20.52210969;21.47534187;39.92825405
3.7;1.5;404.02601;168.6598501;616.6497722;1347.790694;1355.705501;20.78388198;15.43186242;19.76325956;17.02142742;23.96437822
3.7;2.5;400.4798635;242.9424732;560.6415557;1131.250931;1293.20756;21.57192172;24.67957202;24.93011232;49.36756925;31.676799
3.7;3.5;433.4686095;255.1552274;419.7361404;1074.251332;1240.740587;16.85751917;28.26903825;17.73303845;26.57914393;33.92040512
3.7;4.5;464.0829709;373.9158553;462.2756261;1042.096709;1186.987759;20.83935519;34.61340292;19.48252268;30.87457875;27.52670209
3.7;5.5;531.1172145;346.7626578;337.1005681;983.0519745;1181.444768;16.81151293;42.05411311;13.93827961;18.99686262;27.8772368
3.7;6.5;554.7839562;644.3991618;237.8948176;758.3316683;972.5966626;35.66644649;86.87622573;20.74647604;37.91214813;39.60327215
3.7;7.5;588.5992897;625.2804289;252.0518421;1236.648816;878.8135948;19.64092047;70.90732697;17.77572303;17.871565;25.3620595
3.7;8.5;664.7066844;1104.722936;241.3789238;678.7083663;945.1069876;19.00898293;97.92181901;21.71436895;17.02324124;16.98815874
3.7;9.5;747.4357888;2560.412423;215.3144392;624.4290918;732.8435317;19.41842881;216.1509904;19.62202593;20.97298381;18.96319096
3.7;10.5;837.9888422;1622.576454;159.191152;743.8297962;807.1246163;27.97579213;183.1766134;0;20.50032416;25.21224286
3.7;11.5;797.8453145;2378.31421;337.6435457;674.3049638;655.681093;17.93961207;230.4474425;15.60290113;18.60952013;22.0379553
3.7;12.5;825.2901877;2221.452226;342.8299179;579.700308;788.8018746;19.50732252;338.3710449;15.63235671;21.52570293;43.65763001
3.7;13.5;919.1024373;3738.192179;503.925752;589.8281337;676.9964379;19.72852197;404.9239676;15.3421349;27.14372094;25.60113978
